,Same,econ_only,light_only
0,Albania,,Afghanistan
1,Algeria,,Akrotiri Sovereign Base Area
2,Argentina,,Aland
3,Armenia,,American Samoa
4,Australia,,Andorra
5,Austria,,Angola
6,Azerbaijan,,Anguilla
7,Bangladesh,,Antarctica
8,Belarus,,Antigua and Barbuda
9,Belgium,,Aruba
10,Benin,,Bahrain
11,"Bolivia, Plurinational State of",,Barbados
12,Brazil,,Baykonur Cosmodrome
13,Brunei Darussalam,,Belize
14,Bulgaria,,Bermuda
15,Cameroon,,Bhutan
16,Canada,,Bosnia and Herzegovina
17,Chile,,Botswana
18,China,,British Indian Ocean Territory
19,Colombia,,British Virgin Islands
20,Costa Rica,,Burkina Faso
21,Croatia,,Burundi
22,Cyprus,,Cambodia
23,Czechia,,Cape Verde
24,Côte d'Ivoire,,Cayman Islands
25,Denmark,,Central African Republic
26,Ecuador,,Chad
27,Egypt,,Comoros
28,El Salvador,,Cook Islands
29,Estonia,,Cuba
30,Ethiopia,,Curaçao
31,Finland,,Cyprus No Mans Area
32,France,,Democratic Republic of the Congo
33,Georgia,,Dhekelia Sovereign Base Area
34,Germany,,Djibouti
35,Ghana,,Dominica
36,Greece,,Dominican Republic
37,Guatemala,,East Timor
38,Honduras,,Equatorial Guinea
39,Hungary,,Eritrea
40,Iceland,,Falkland Islands
41,India,,Faroe Islands
42,Indonesia,,Federated States of Micronesia
43,Ireland,,Fiji
44,Israel,,French Polynesia
45,Italy,,French Southern and Antarctic Lands
46,Jamaica,,Gabon
47,Japan,,Gambia
48,Jordan,,Gibraltar
49,Kazakhstan,,Greenland
50,"Korea, Republic of",,Grenada
51,Kyrgyzstan,,Guam
52,Latvia,,Guernsey
53,Lebanon,,Guinea
54,Lithuania,,Guinea Bissau
55,Luxembourg,,Guyana
56,Malaysia,,Haiti
57,Malta,,Heard Island and McDonald Islands
58,Mauritius,,Hong Kong S.A.R.
59,Mexico,,Indian Ocean Territories
60,"Moldova, Republic of",,Iran
61,Morocco,,Iraq
62,Mozambique,,Isle of Man
63,Netherlands,,Jersey
64,New Zealand,,Kenya
65,Nicaragua,,Kiribati
66,Nigeria,,Kosovo
67,North Macedonia,,Kuwait
68,Norway,,Laos
69,Oman,,Lesotho
70,Panama,,Liberia
71,Paraguay,,Libya
72,Peru,,Liechtenstein
73,Philippines,,Macao S.A.R
74,Poland,,Madagascar
75,Portugal,,Malawi
76,Romania,,Maldives
77,Russian Federation,,Mali
78,Saudi Arabia,,Marshall Islands
79,Senegal,,Mauritania
80,Slovakia,,Monaco
81,Slovenia,,Mongolia
82,South Africa,,Montenegro
83,Spain,,Montserrat
84,Sri Lanka,,Myanmar
85,Sweden,,Namibia
86,Switzerland,,Nauru
87,"Tanzania, United Republic of",,Nepal
88,Thailand,,New Caledonia
89,Togo,,Niger
90,Tunisia,,Niue
91,Turkey,,Norfolk Island
92,Ukraine,,North Korea
93,United Arab Emirates,,Northern Cyprus
94,United Kingdom,,Northern Mariana Islands
95,United States,,Pakistan
96,Uruguay,,Palau
97,"Venezuela, Bolivarian Republic of",,Palestine
98,Zambia,,Papua New Guinea
99,,,Puerto Rico
100,,,Qatar
101,,,Republic of Congo
102,,,Republic of Serbia
103,,,Rwanda
104,,,Saint Barthelemy
105,,,Saint Helena
106,,,Saint Kitts and Nevis
107,,,Saint Lucia
108,,,Saint Martin
109,,,Saint Pierre and Miquelon
110,,,Saint Vincent and the Grenadines
111,,,Samoa
112,,,San Marino
113,,,Sao Tome and Principe
114,,,Seychelles
115,,,Siachen Glacier
116,,,Sierra Leone
117,,,Singapore
118,,,Sint Maarten
119,,,Solomon Islands
120,,,Somalia
121,,,Somaliland
122,,,South Georgia and South Sandwich Islands
123,,,South Sudan
124,,,Sudan
125,,,Suriname
126,,,Swaziland
127,,,Syria
128,,,Taiwan
129,,,Tajikistan
130,,,The Bahamas
131,,,Tonga
132,,,Trinidad and Tobago
133,,,Turkmenistan
134,,,Turks and Caicos Islands
135,,,Tuvalu
136,,,US Naval Base Guantanamo Bay
137,,,Uganda
138,,,United States Minor Outlying Islands
139,,,United States Virgin Islands
140,,,Uzbekistan
141,,,Vanuatu
142,,,Vietnam
143,,,Wallis and Futuna
144,,,Western Sahara
145,,,Yemen
146,,,Zimbabwe
